host,tic_id,rad,e_rad,mass,e_mass,Teff,logg,e_logg,rho,e_rho,lum,lumclass,priority,contratio,numcont
TOI-1758,367858035,0.805886,0.046402,0.88,0.105339,5169.0,4.57,0.0825764,1.68137,0.402961,0.417702973,DWARF,0.00435053743,0.0117659736,255
TOI-1768,137906197,1.09577,0.0491959,1.104,0.147925,5994.0,4.4016,0.0785362,0.839097,0.176491,1.39636672,DWARF,0.00216707843,0.0183731411,34
TOI-1772,85293053,0.995254,0.04551,0.99,0.126087,5583.1,4.43783,0.0783219,1.00423,0.216011,0.8670909,DWARF,0.00303077186,0.0119215231,16
TOI-1774,4897275,1.09271,0.0444724,1.06,0.13005,5853.7,4.38636,0.0701936,0.812432,0.15784,1.26307523,DWARF,0.00519066025,0.000417826843,39
TOI-1775,9348006,0.83944,0.0498618,0.898,0.112957,5251.0,4.54337,0.0872397,1.51813,0.377319,0.482660621,DWARF,0.00144286291,0.00312401634,34
TOI-1776,21535395,0.945408,0.0387764,1.02,0.126763,5723.87,4.49543,0.0705593,1.2071,0.229721,0.8643558,DWARF,0.006784669,0.000126368977,31
TOI-1777,29191624,0.983752,0.0388266,1.06,0.133432,5859.45,4.4776,0.0720788,1.1134,0.217938,1.02776325,DWARF,0.004412258,0.0121698808,36
TOI-178,251848941,0.660806,0.0596206,0.68,0.0803989,4339.0,4.63043,0.103994,2.35661,0.719194,0.139444456,DWARF,0.00308579416,0.009163799,24
TOI-1782,160045097,0.668693,0.0560352,0.68,0.0774836,4336.0,4.62012,0.0989097,2.2742,0.686373,0.142398641,DWARF,0.00304364646,0.004232903,45
TOI-1789,172518755,2.25663,0.0968015,1.1,0.144717,5971.41,3.77254,0.074122,0.0957218,0.0192895,5.83342552,DWARF,0.000911388954,0.003566829,38
TOI-1794,286916251,1.29921,0.0613468,1.017,0.119612,5707.0,4.21803,0.0721788,0.463751,0.0921043,1.61318254,DWARF,0.002267625,0.006626112,35
TOI-1798,198153540,0.784618,0.0392965,0.874,0.107671,5165.24,4.59026,0.0764449,1.80941,0.38738,0.3947965,DWARF,0.00295702671,0.00121557515,31
TOI-1799,8967242,0.956941,0.0464397,1.01,0.130027,5690.0,4.48062,0.0772114,1.15257,0.243821,0.864797354,DWARF,0.005171391,0.00013923696,17
TOI-1801,119584412,0.545591,0.0164229,0.541272,0.0204295,3815.0,4.69775,0.00975382,3.33284,0.175399,0.056807708,DWARF,0.00541887,0.000276353385,35
TOI-1803,144401492,0.689401,0.0590955,0.793,0.0971784,4868.61,4.6604,0.10984,2.42023,0.788441,0.24057965,DWARF,0.00174636091,0.00369303976,21
TOI-1806,166648874,0.401575,0.0119287,0.393258,0.0202403,3272.0,4.82521,0.0034367,6.07264,0.228548,0.01665257,DWARF,0.00151254132,7.601407e-06,26
TOI-1807,180695581,0.741027,0.0450603,0.73,0.085975,4612.99,4.56172,0.0838448,1.794,0.432431,0.22402285,DWARF,0.006536682,0.0006797479,29
TOI-181,76923707,0.805573,0.0550251,0.76,0.0936053,4753.0,4.50667,0.0938912,1.45378,0.3994,0.298383832,DWARF,0.00211400329,0.134277821,41
TOI-1811,376524552,0.812087,0.0555227,0.756,0.0884888,4719.0,4.49738,0.0908426,1.41161,0.377245,0.2946453,DWARF,0.00134479755,0.00279505737,35
TOI-1814,160440924,2.3895,,,,4971.0,,,,,,GIANT,,,
