host,tic_id,n_sectors_measured,sectors,mean_depth,sector_depth_frac_scatter,sector_depth_chi2red,status
HAT-P-36,373693175,3.0,"22,49,76",0.005186855792999268,1.9340444899959701,1967.191247009734,ok
HAT-P-33,239154970,5.0,"20,44,45,46,47",0.0012043118476867676,3.1546878808499295,65.50700078454958,ok
HAT-P-31,320798691,5.0,"26,40,53,79,80",0.0015590965747833252,2.2485218905547217,827.473945478043,ok
HAT-P-37,267572272,5.0,"26,40,41,53,54",0.018009167909622193,1.066194757738852,1774.5970780300836,ok
HAT-P-41,398895470,2.0,"54,81",0.005704224109649658,1.4405025868081764,1051.5494727961773,ok
HAT-P-38,285272237,3.0,"58,85,18",0.0001117090384165446,1.2184168658743697,0.44492307406179166,ok
HAT-P-34,278348461,5.0,"14,41,54,81,55",0.0009918808937072754,2.426115904917648,51.08550848067994,ok
HAT-P-39,14770122,5.0,"44,45,46,71,72",0.0019648373126983643,1.9093978721058418,247.552083880932,ok
HAT-P-45,167227214,1.0,80,0.012550771236419678,,,ok
HAT-P-4,138294130,5.0,"24,50,51,77,78",0.001615077257156372,2.2980299202424477,1093.3115898550482,ok
HAT-P-46,104866616,1.0,80,-0.0005391240119934082,,,ok
HAT-P-40,199671901,5.0,"56,57,76,77,83",-0.0002128124237060547,2.393510704340787,3.3568780545097905,ok
HAT-P-44,168699373,5.0,"23,49,50,76,77",0.00413864254951477,2.207053134778926,680.0699200990535,ok
HAT-P-43,468987719,5.0,"7,34,44,45,46",0.0025868475437164306,2.505345771395825,235.77150121733237,ok
HAT-P-42,270468559,5.0,"8,34,44,45,46",0.001207113265991211,2.3190328934747564,140.3117338365118,ok
HAT-P-53,189380158,2.0,"85,17",0.0059661865234375,1.3024212348847128,42.195270151029405,ok
HAT-P-51,61205803,3.0,"57,84,17",0.005733668804168701,1.8285713742367662,692.650536309646,ok
HAT-P-49,99224131,5.0,"41,55,81,82,14",0.0013220548629760743,2.4254090264200703,1822.0365429432345,ok
HAT-P-52,436875934,5.0,"42,43,44,58,85",0.004532545804977417,1.29366728039505,139.97681010424304,ok
HAT-P-50,17746821,5.0,"7,34,44,45,46",0.0010582804679870605,2.54643489971552,360.53106645325875,ok
HAT-P-5,76419763,5.0,"26,40,53,54,74",0.0025513887405395506,2.4638778712480676,780.9784903508651,ok
HAT-P-57,317520667,1.0,80,0.0051634907722473145,,,ok
HAT-P-55,311408969,5.0,"25,26,52,53,79",0.004430544376373291,1.6980073897149743,215.7880409111145,ok
HAT-P-54,284326455,5.0,"43,44,45,71,72",0.008227837085723878,1.3613925734494403,369.64020605903426,ok
HAT-P-60,354469661,,,,,,error: TypeError
HAT-P-58,9443323,4.0,"59,73,86,19",0.0014371797442436218,1.9584308149108165,105.69395175565676,ok
HAT-P-56,84339983,5.0,"43,44,45,71,72",0.004955887794494629,0.6637255636953749,81.77532702793167,ok
HAT-P-63,325670253,1.0,80,0.015551209449768066,,,ok
HAT-P-6,176899385,4.0,"57,84,16,17",0.0004321783781051636,1.699789913906355,36.7128932626211,ok
HAT-P-62,453064665,3.0,"59,73,86",0.002934008836746216,1.9541574797423293,685.9952868629823,ok
HAT-P-59,229400092,5.0,"23,24,25,26,41",0.007374918460845948,0.5509173905030575,425.8118839303272,ok
HAT-P-65,283419843,2.0,"55,82",0.009927988052368164,0.11335681942822695,17.851779420543064,ok
HAT-P-61,259506033,4.0,"59,73,86,19",0.0017990320920944214,2.437785263304828,112.01683350917637,ok
HAT-P-66,137881699,3.0,"21,48,75",0.0027387638886769614,1.7074723860768068,311.6731410186766,ok
HAT-P-64,455036659,2.0,"98,32",0.008229479193687439,0.2478243006656257,22.23071092935021,ok
HAT-P-68,63189173,4.0,"44,46,71,72",0.010143786668777466,1.4001013411049477,1066.8741347448702,ok
HAT-P-67,198588220,5.0,"24,26,51,52,53",0.0013355553150177003,2.302146156363348,734.8821206211734,ok
HAT-P-9,371234684,,,,,,error: TypeError
HAT-P-7,424865156,5.0,"14,15,40,41,54",0.001266103982925415,2.07714687065281,805.2657853735852,ok
HATS-10,126325985,1.0,92,0.008249789476394653,,,ok
HAT-P-69,379929661,3.0,"34,61,88",0.0013027191162109375,0.10758525908598988,0.6326206896803486,ok
HATS-11,11439959,1.0,92,0.009362548589706421,,,ok
HATS-12,11270200,1.0,92,0.004585444927215576,,,ok
HATS-15,271898990,1.0,92,0.015562772750854492,,,ok
HAT-P-8,188876052,2.0,"56,83",0.0015271306037902832,1.512906581752631,500.2113244511788,ok
HAT-P-70,399870368,3.0,"32,98,5",0.0030780633290608725,1.6418964444032367,676.0844344489215,ok
HATS-13,289793076,5.0,"1,28,68,92,95",0.003133517503738403,2.897498326238682,294.9877357698547,ok
