host,label,status,elapsed_s,multi_transit_depth_chi2red,n_transits_used,power_ratio_half_period,power_ratio_double_period
BD-11_4672,1,Success,49.75040912628174,6.051495108398079,2,-0.2898097058871297,
BD-210397,1,Success,31.717323064804077,17.295315282004683,4,0.5983025040818837,
BEBOP-3,1,Success,31.48867392539978,1.5954147442402753,4,0.3349898825622878,
CI_Tau,1,Success,20.576219081878662,698.4143012591477,4,-0.0466061691268598,0.9997495022090179
CD-35_2722,1,Success,46.70431900024414,640.8846105323577,2,0.5889056160969499,
CT_Cha,1,Success,17.38327717781067,29.12346093605133,10,0.4446079329248819,-0.014942849880138559
CoRoT-1,1,Success,31.857075929641724,1.4499095495366994,13,0.480743410082263,0.5308638493084422
BD-13_2130,1,Success,119.76272583007812,2.631242678074558,24,,0.6643169731117687
COCONUTS-2_A,1,Success,66.9966459274292,70.60499697930497,4,0.2642899955930333,0.6779615228552787
CoRoT-10,1,Success,45.256967067718506,1.3156188651495078,15,,0.5701737778857384
CoRoT-11,1,Success,26.958611965179443,0.7957530836048402,5,0.21204920307322536,0.4609178327405877
CoRoT-12,1,Success,34.45917510986328,0.4423828012312922,7,0.44228864476407337,0.5020265030722473
CoRoT-13,1,Success,49.164896965026855,0.6585972217152621,5,0.7905557411539695,0.423495817883061
CoRoT-14,1,Success,35.418123960494995,0.6053540740646104,14,0.49158122246758534,0.23890122206483966
CoRoT-16,1,Success,35.4459547996521,1.3877568544022025,16,,0.4989953886387434
CoRoT-17,1,Success,33.907371044158936,5.485864540164684,9,,-0.19019921710230817
CoRoT-19,1,Success,18.80874490737915,0.3417165942052862,6,0.4305429269317051,0.32574184656095995
CoRoT-21,1,Success,18.426221132278442,0.8378591933845034,12,,0.29748263908558076
CoRoT-18,1,Success,40.81709575653076,1.5394752763729531,10,0.38960954024709893,0.7562293445635432
CoRoT-2,1,Success,38.26705193519592,5.216301126031497,7,0.28017110029358744,0.3282200015376693
CoRoT-20,1,Success,45.9166419506073,0.4588187086457345,3,0.259202153552899,
CoRoT-23,1,Success,27.445995807647705,1.3303565449108912,8,,0.07557614271561512
CoRoT-22,1,Success,39.78203296661377,4.4536344973560755,5,0.17592272623111996,0.8061793914965166
CoRoT-24,1,Success,49.469918966293335,12.371634511286356,3,0.05615680288654847,
CoRoT-28,1,Success,16.893388032913208,3.5973101998171253,10,,0.7643159548729138
CoRoT-26,1,Success,26.174454927444458,0.7679647698029304,10,,-0.024704364006758017
CD_Cet,1,Success,230.88510608673096,69.72267284364911,25,0.04569061173760281,0.7974657331814252
CoRoT-25,1,Success,37.07088804244995,0.8462479785162365,10,,0.15241834673524587
CoRoT-3,1,Success,20.065603971481323,0.5096290733177407,10,,0.4193406890790571
CoRoT-31,1,Success,20.484956979751587,1.6574288296632018,4,0.3739436164644864,
CoRoT-29,1,Success,50.51825284957886,3.7096669320413076,6,0.3077120926732714,0.7434396370902481
BD+03_2562,1,Success,527.6838369369507,2.2547117279926923,9,0.40348520320956555,0.26536143897725145
CoRoT-4,1,Success,32.52102994918823,3.1792764163371157,2,0.23276420057759556,
CoRoT-30,1,Success,57.91771221160889,0.439561262729061,4,0.3955613713201032,0.6453221141162744
CoRoT-5,1,Success,34.25910782814026,0.5631459572404327,5,0.44700605940555554,0.15319796482456416
CoRoT-32,1,Success,64.89345788955688,9.886479218932893,3,0.12915631934496585,
DENIS-P_J082303.1-491201,1,Success,15.599864959716797,0.004700903678991609,3,0.22260464381577852,
BD+37_3172,1,Success,509.109356880188,0.3886514880984226,33,,0.23785118954007606
CoRoT-7,1,Success,40.91868805885315,1.194658727773378,24,,0.31847760279581344
CoRoT-6,1,Success,46.78832006454468,2.29432281641844,8,0.10501372068093948,0.7374664908864508
CoRoT-8,1,Success,47.02308988571167,5.736155251264892,23,,0.22622579372540289
CoRoT-9,1,Success,47.4126091003418,18.6796620846695,15,,0.8325243361166708
DMPP-1,1,Success,25.960625886917114,1.8185940726676522,5,0.22402723609140138,0.8918205533268563
DMPP-4,1,Success,25.096237897872925,1.7710420360511638,6,0.16339183710057598,0.2860691864000465
DMPP-7,1,Success,18.64802598953247,1.9807796112639804,10,,0.5053955357863125
DMPP-6,1,Success,34.73570895195007,1.385004588285676,16,,0.03061106387091838
DMPP-3_A,1,Success,47.83564591407776,1.8046935241083362,35,,0.18572873166782716
DMPP-8,1,Success,28.490281105041504,0.9140215161492591,5,-0.16818487844482938,0.8344713030579081
DMPP-9,1,Success,44.97035193443298,1.6923761195745768,23,,0.2892381330229159
DE_CVn,1,Success,118.2699031829834,1.8006336084973071,54,,0.35989570089981104
DS_Tuc_A,1,Success,54.751116037368774,757.7942684129483,3,0.559044234513152,
EPIC_201427007,1,Success,34.34696888923645,1.256515932321422,5,0.24812098600538024,0.22828943114989403
DH_Tau,1,Success,158.61736607551575,,1,0.19157275009930708,
EPIC_201595106,1,Success,51.716814279556274,1.1132540095033365,7,0.7070242398242405,0.02308323034362715
EPIC_201170410,1,Success,133.35095810890198,1.666502113277722,8,0.2909463167629991,0.8549335133852561
EPIC_201497682,1,Success,87.73585915565491,3.2174323184064173,46,,0.1008590925246594
EPIC_206024342,1,Success,25.22827386856079,15.442056774376486,2,-0.06448081962311944,
EPIC_201757695,1,Success,82.1574490070343,0.12262557877277677,3,-0.08942197797114768,
EPIC_201238110,1,Success,142.12064170837402,7.389602903353582,12,,0.6366822111903224
EPIC_206032309,1,Success,50.388829946517944,1.5387781569003818,30,,0.14185945485921259
EPIC_201841433,1,Success,69.3423421382904,2.510585274631909,58,,0.3045164218578442
EPIC_206317286,1,Success,38.46776795387268,3.791919595218014,4,0.41137488806302247,-0.11044192992517506
