host,ts_var_ratio,ts_acf_lag1,ts_acf_1hr,ts_n_in,ts_n_out,ts_status
HAT-P-28,1.0084729415178908,0.04158888317161155,0.0030166086603219764,486,15942,ok
HAT-P-29,1.0555264105466244,-0.00412761057537482,0.003845588937223205,2570,101647,ok
HAT-P-3,3.743533465979838,0.02105125760812046,0.011667561331002796,18,12620,ok
HAT-P-30,4.0204187198444625,0.035363667552202015,-0.005805993367618197,40,15261,ok
HAT-P-31,0.8926836121803982,0.0022331234812173265,0.006561748544389243,490,14808,ok
HAT-P-32,1.5184269640578612,0.04126703876144764,0.019108031268480694,162,105694,ok
HAT-P-33,3.367375547090439,0.034512173617072255,0.0019539734903620226,46,15660,ok
HAT-P-34,5.300006355625532,0.08192957619245009,-0.014859615233765363,70,12708,ok
HAT-P-35,1.527256875816019,0.03858642786173347,-0.008635924715595093,449,14460,ok
HAT-P-36,0.17516686093557188,0.06097450415850943,-0.0088090053888304,23,15288,ok
HAT-P-37,0.18681151828669076,0.6553948553007596,0.1650417511123961,1576,8389,ok
HAT-P-38,1.0588617188231297,-0.007574078875109431,0.007491311014049356,2224,90903,ok
HAT-P-39,2.0662047026436485,0.01655846206072599,-0.006790300229412092,618,13491,ok
HAT-P-4,0.5054386362047013,0.04204678654140216,-0.0013979097925452947,193,13233,ok
HAT-P-40,0.9536283856124936,0.001539256347110835,0.005764036748996668,519,97775,ok
HAT-P-41,,,,6,8528,insufficient in/out points (6/8528)
HAT-P-42,1.8217292535664489,0.01320491504985601,-0.001912352136304538,306,11665,ok
HAT-P-43,1.3293455364447169,0.02179201470409768,0.003915327442426597,341,14748,ok
HAT-P-44,0.5211070970029941,-0.005175963590844287,0.005519098236879485,159,14309,ok
HAT-P-45,0.4879398327572342,0.004604918356821964,-0.022656539748148394,167,10886,ok
HAT-P-46,1.0120589483195392,-0.005003839125339806,0.002994249251706671,378,68371,ok
HAT-P-49,0.4424116820772686,0.03888992533970887,-0.001701260978467402,258,16208,ok
HAT-P-5,0.7382381478346399,0.004869188381972821,-0.0013426642977658824,200,15452,ok
HAT-P-50,1.696812765481589,0.05047294232536664,-0.0407275257317754,692,13821,ok
HAT-P-51,0.9425410943005152,-0.0009578840130472455,-0.005126804020703915,396,16494,ok
HAT-P-52,1.0233120427458788,0.006816639740851965,-0.009937368977596927,378,12808,ok
HAT-P-53,1.387572023549888,0.02016943075231418,0.012376662975585522,490,10782,ok
HAT-P-54,1.2775466796000408,0.008895771221611113,-0.011613431732844856,82,15179,ok
HAT-P-55,0.8677079728347707,0.007182248048306082,-0.0033249158950362672,205,13026,ok
HAT-P-56,2.947005128912262,-0.03666232964344883,-0.0063076023275687705,102,15424,ok
HAT-P-57,1.1925223143490509,0.019892567474715826,0.014466551780854143,692,65184,ok
HAT-P-58,1.7542187063814145,0.0195912690621672,0.002932496492248839,569,13922,ok
HAT-P-59,0.36083462185592247,0.0018849168366513237,-0.008033063835378863,95,13824,ok
HAT-P-6,0.991602086393903,0.001221664535617201,0.008905322383851264,1647,98194,ok
HAT-P-60,1.0324070458764436,-0.00018234359165257463,0.005589921889354042,1385,107269,ok
HAT-P-61,2.02049973140088,0.004231698833481949,0.0016742647312995072,369,15014,ok
HAT-P-62,1.5530204749669256,0.02449189229615397,0.0005283658363238707,628,14290,ok
HAT-P-63,0.8699579664437098,0.009394018470740057,0.002199756177714536,204,10865,ok
HAT-P-64,0.8506940538303096,-0.003912089747404028,0.00837694483728389,547,143645,ok
HAT-P-65,1.0475127491458653,-0.015099254371845679,-0.007185461649184767,538,10891,ok
HAT-P-66,1.2654767621985903,0.012172224722930133,-0.007820858372912454,591,16049,ok
HAT-P-67,0.78749103065298,0.11080256641419586,0.0016076514256698243,22,16947,ok
HAT-P-68,0.5466901136959612,0.02920991504792403,-0.006349538759448189,166,14049,ok
HAT-P-69,0.9944825883375852,0.01335016624241638,0.009536419881056234,897,92796,ok
HAT-P-7,1.3808008712191326,0.07820361285530003,-0.013646237311923895,190,16348,ok
