host,recon_err,var_oot_rms
GJ_680,7.887367473813356e-06,0.0013996846396506
GJ_682,5.8639525377657264e-06,0.0009082770567158
GJ_685,8.41372047943878e-06,0.0006507188990022
GJ_687,5.416971816885052e-06,0.0003449790808315
GJ_720_A,5.326297525698465e-06,0.0004470086119364
GJ_724,4.8942169428300986e-06,0.0007611847721997
GJ_740,6.315486103858348e-06,0.0003973868253666
GJ_806,6.046267344572698e-06,0.0006456866133474
GJ_832,1.046607272314759e-05,0.0002535386562713
GJ_849,6.203259317771881e-06,0.0008969796340659
GJ_86,5.9935310900982586e-06,0.0003142539591482
GJ_876,6.318479904621199e-06,0.0003432023838217
GJ_887,1.7801645412873768e-05,0.0107212102235331
GJ_896_A,9.239578218966926e-06,0.0152746692333173
GJ_900_A,7.467228783752944e-06,0.0032582999432008
GJ_9066,4.720956042092439e-06,0.0024175215758152
GJ_9404,9.460262560878618e-06,0.0006167445676805
GJ_96,9.800138087712185e-06,0.0004795750557181
GJ_9689,6.694047868904818e-06,0.0008937496981423
GJ_9714,7.846780562204003e-06,0.0007442132778741
GJ_9773,7.421515192618244e-06,0.0009383229351268
GJ_9827,6.764261058833654e-06,0.0014218419128785
GPX-1,1.3261355604754499e-05,0.0054565180164841
GQ_Lup,0.0010266840545227751,0.2080506244866791
GU_Psc,1.2312648664192238e-05,0.0058464764580905
G_192-15,7.811972523086297e-06,0.0026358527275147
G_196-3,9.731628665576864e-06,0.0132280986699438
G_261-6,7.4298252457083436e-06,0.0033990513848181
G_264-012,5.332966281912377e-06,0.0014604924850684
G_268-110,1.4207199455995578e-05,0.0073958358303207
G_9-40,4.851207734191121e-06,0.0026190622265603
Gaia-1,4.382681845527259e-05,0.0047158737560547
Gaia-2,1.1806797715507855e-05,0.0015516530999449
Gaia-4,8.89012130755873e-06,0.0022511408159054
Gaia-5,9.708372544992017e-06,0.0048168111152559
Gl_378,5.492857582112265e-06,0.0004897414753508
Gl_410,5.0828740540964645e-06,0.0108365465530238
Gl_49,6.632745765955406e-06,0.0008633048424088
Gl_686,7.0559484015575435e-06,0.0003646872470998
Gl_725_A,4.191635468941968e-06,0.0003898141020418
Gliese_12,7.470829160638459e-06,0.0029313351188822
HAT-P-1,5.126359809537462e-06,0.0038160740009442
HAT-P-11,1.0335608237710403e-05,0.0006148851458447
HAT-P-12,2.6199328885923023e-05,0.0028815080470073
HAT-P-13,7.386414040411182e-06,0.0009409911517439
HAT-P-14,6.575644306394679e-06,0.0008614717421288
HAT-P-15,2.002436929160467e-05,0.0018754738110607
HAT-P-16,1.0612771461637749e-05,0.0013973181520162
HAT-P-17,5.799343881562891e-06,0.0009757813297388
HAT-P-18,4.0529490433982573e-05,0.0029417100108716
HAT-P-19,1.0450400623085443e-05,0.007557152877755
HAT-P-2,7.313318519663881e-06,0.0005325230535107
HAT-P-20,8.774635625741212e-05,0.0035898302223814
HAT-P-21,1.1939356284074165e-05,0.0020514398015084
HAT-P-22,6.046537350812287e-06,0.0007044023870681
HAT-P-23,2.4614795847810456e-05,0.0044379319064032
HAT-P-24,2.199136304170679e-05,0.0022069197888428
