tid,toi,tfopwg_disp,ra,dec,st_rad,st_teff
403308915,2059.01,FP,5.198855,55.542814,1.75,8398.0
285542903,2060.01,FP,13.27005,60.618112,4.14,10125.0
170103435,2510.01,FP,101.397361,-46.565471,1.23,6317.0
124702477,2511.01,FP,104.752514,-7.897455,1.96,6811.0
34466256,2732.01,FP,82.46986,-9.158548,1.6,6699.0
91869778,2736.01,FP,88.841655,15.37845,1.94,6539.0
281979481,274.01,FP,130.505379,-75.801869,0.807298,5181.0
280212554,2743.01,FP,100.873785,-1.871278,2.59,9742.0
279989567,2744.01,FP,100.564751,-4.949889,,4899.5
327577308,2061.01,FP,4.747716,56.367066,0.7,4475.0
