host,label,status,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,elapsed_s
CoRoT-14,1,Success,0.0020841627557481,0.005354394037871,0.0014381860903243,8.805697171532731,47.252876749960706
CoRoT-16,1,Success,0.0015747504840592,0.0088921479486001,0.0006197276696702,,44.53748474997701
CoRoT-17,1,Success,0.0025358887364435,0.0423657669077835,-0.0014869239602959,,54.25238358305069
CoRoT-18,1,Success,0.0003985315440593,0.0042152143423835,0.0031404101077048,0.5810575189037805,38.80601599998772
CoRoT-19,1,Success,5.735451731514759e-05,0.0005321877805809,0.0001231310069947,-4.002567448879966,37.965541457990184
CoRoT-2,1,Success,2.105123866878101e-05,0.0012902948534672,-0.0017145753310425,13.09166712348376,37.37274608301232
CoRoT-20,1,Success,0.0001504533916882,0.0005690506098399,-0.0002596069190425,,41.83312558301259
CoRoT-21,1,Success,0.0047301253279239,0.0101617967904917,-0.0007774960086783,-84.66431510197243,40.98136233398691
CoRoT-22,1,Success,0.0001060843832243,0.0037699296106769,0.0001596167127176,-0.2921493493248898,41.80294049996883
CoRoT-23,1,Success,0.001230639329453,0.0061342396766454,0.0025456427463695,3.0330520356471844,37.14078870898811
CoRoT-24,1,Success,0.0006051942761635,0.0086252427600694,0.0003935102486394,,38.63385141699109
CoRoT-25,1,Success,0.0018127678070423,0.0077046707586461,0.0015798135792528,,39.29141662502661
CoRoT-26,1,Success,0.0026407288425047,0.022527419278698,0.0003624582254215,-0.858462092756736,46.84472816699417
CoRoT-28,1,Success,5.072064806907525e-05,0.0003542018241586,-0.0001555976445788,-0.0964928471773791,35.40044358302839
CoRoT-29,1,Success,0.0018764637838815,0.0106147016810063,0.0006567560787056,8.562013900453243,36.80078604101436
CoRoT-3,1,Success,4.608750354911654e-05,0.0014621192709091,0.0022657093991091,0.7479935070106071,26.675165666034445
CoRoT-30,1,Success,0.0043749448332238,0.0077221166390788,-0.002576554940586,-0.1028562908202842,34.875914709002245
CoRoT-31,1,Success,0.0013641065739293,0.0118373135348178,8.82739762274598e-05,-4.269528079128318,34.33944125002017
CoRoT-32,1,Success,5.938305211373844e-05,0.0017449712918386,0.0003460758038927,,36.622799000004306
CoRoT-4,1,Success,7.703015143903717e-05,0.0011275187332156,7.69539985685519e-05,,30.552839208045043
CoRoT-5,1,Success,0.0001580540851588,0.0013880109509398,-0.000542977900817,-0.5445735965046685,29.963838333962485
CoRoT-6,1,Success,0.000138260039097,0.0044716097719879,0.0004432041079538,,63.438953916949686
CoRoT-7,1,Success,3.2472271574569787e-06,0.0002979145312701,0.0001408979240533,0.4039604890149108,42.70778974995483
CoRoT-8,1,Success,0.0001636731530164,0.000125815882066,0.0006266811448529,,42.79023079201579
CoRoT-9,1,Success,0.0001010804740317,0.0052829770953331,0.0152918586549036,,49.2826969170128
DENIS-P_J082303.1-491201,1,Success,0.0900388200185525,0.0825473009539161,-0.0021278330518308,0.1846569341530282,58.87706516700564
DE_CVn,1,Success,0.0001340815926989,0.001685273994972,0.0103114835595523,0.9584319528893298,64.25224220898235
DH_Tau,1,Success,0.0003075968091646,,0.002879674466276,-0.127331726852036,66.48166737501742
DMPP-1,1,Success,8.800009360904104e-08,6.143766450191502e-05,1.1205034694317106e-05,,37.92915995797375
DMPP-3_A,1,Success,1.9556383017606597e-07,0.0001156321893699,-6.6383081025467305e-06,,62.82817820896162
DMPP-4,1,Success,1.8055864265955897e-08,3.296814039040189e-05,-1.6322003142388295e-06,,43.145275874994695
