hostname,pl_name,ra,dec,st_rad,st_teff,st_mass
Kepler-547,Kepler-547 b,286.1185888,44.3452063,0.73,4828.0,0.78
Kepler-1488,Kepler-1488 c,286.6464265,49.9377735,1.524,5710.0,1.003
HAT-P-57,HAT-P-57 b,274.743418,10.5971968,1.85,6330.0,2.77
HD 8326,HD 8326 b,20.5314418,-26.8940678,0.783181,4914.0,0.8
TOI-150,TOI-150.01,112.965421,-73.6060358,1.526,6255.0,1.351
TIC 86380416,TIC 86380416 b,145.160376,65.7327948,0.989724,5723.74,1.07
TRAPPIST-1,TRAPPIST-1 g,346.6263919,-5.0434618,0.1192,2566.0,0.0898
HD 106315,HD 106315 b,183.4724742,-0.3934357,1.296,6327.0,1.091
GJ 9827,GJ 9827 b,351.7717763,-1.2853435,0.58,4236.0,0.62
BD-06 1339,BD-06 1339 b,88.2511811,-5.9963378,0.686355,4324.0,0.7
Kepler-1033,Kepler-1033 b,283.8450963,44.6090251,0.92,5547.0,0.94
TOI-7155,TOI-7155 b,12.4454481,79.2878555,0.670748,4673.03,0.755
K2-136,K2-136 d,67.4128615,22.8825674,0.677,4500.0,0.742
K2-154,K2-154 b,189.0015173,-2.6696217,0.63,4097.0,0.65
V1298 Tau,V1298 Tau e,61.331654,20.1570318,1.32,4970.0,1.1
TOI-836,TOI-836 b,225.0798831,-24.4542022,0.665,4552.0,0.678
K2-165,K2-165 c,184.9004881,0.968327,0.803827,5185.0,0.834847
Kepler-947,Kepler-947 b,294.3667312,42.2526408,0.87,5508.0,0.9
WASP-12,WASP-12 b,97.636645,29.6722662,1.69,6265.0,1.325
WASP-17,WASP-17 b,239.9622479,-28.0617941,1.49,6550.0,2.28
WASP-39,WASP-39 b,217.3266477,-3.4444994,0.939,5485.0,0.913
TOI-3235,TOI-3235 b,207.4738488,-46.0665139,0.3697,3388.8,0.3939
HD 3167,HD 3167 e,8.7401487,4.3807215,0.88,5261.0,0.837
55 Cnc B,55 Cnc B b,133.167908,28.3152863,0.274,3286.0,0.26
WASP-94 A,WASP-94 A b,313.7832393,-34.1357512,1.48,6170.0,1.67
WASP-69,WASP-69 b,315.0259661,-5.094857,0.801,4792.0,0.83
KELT-7,KELT-7 b,78.2955912,33.3179532,1.81,6768.0,1.76
NSVS 14256825,NSVS 14256825 b,305.001946,4.6323715,0.188,40000.0,0.419
HD 114082,HD 114082 b,197.3171237,-60.3084347,1.49,6651.0,1.47
TIC 46432937,TIC 46432937 b,83.8689794,-14.5971909,0.5299,3572.0,0.563
2MASS J19383260+4603591,Kepler-451 c,294.6359173,46.0664076,0.203,29564.0,0.48
TOI-2529,TOI-2529 b,118.9945352,-52.3548332,1.7,5802.0,1.11
KOI-1599,KOI-1599.01,298.3738383,40.6184483,0.972,5833.0,1.02
Kepler-689,Kepler-689 b,294.7106347,39.5216975,0.88,5518.0,0.91
NGC 2682 YBP 1194,NGC 2682 YBP 1194 b,132.7533077,11.8146537,0.99,5780.0,1.01
Kepler-1205,Kepler-1205 b,290.2796734,41.5150499,0.81,5226.0,0.84
Kepler-32,Kepler-32 f,297.8423073,46.5743595,0.53,3900.0,0.58
CoRoT-20,CoRoT-20 c,97.7204249,0.2268931,1.02,5880.0,1.14
HD 149026,HD 149026 b,247.6229827,38.3475349,1.41,6179.0,1.42
TRAPPIST-1,TRAPPIST-1 d,346.6263919,-5.0434618,0.1192,2566.0,0.0898
Kepler-968,Kepler-968 b,285.6025889,50.1120401,0.7,4598.0,0.76
BD+20 594,BD+20 594 b,53.6511231,20.5990205,1.08,5766.0,1.67
HD 73534,HD 73534 b,129.8153421,12.9599703,2.58,4917.0,1.16
GJ 3988,GJ 3988 b,255.8503747,51.4089795,0.19734,3273.0,0.1842
Kepler-116,Kepler-116 b,294.7420605,43.5367842,1.454,6142.0,1.198
Kepler-364,Kepler-364 c,281.5699998,47.3986233,1.284,6108.0,1.076
HD 190984,HD 190984 b,302.8779827,-64.6202728,1.53,5988.0,0.91
Kepler-516,Kepler-516 b,295.6087625,38.7357368,2.02,7099.0,1.62
Kepler-119,Kepler-119 b,295.9463854,42.6588324,0.839,5595.0,0.918
WASP-75,WASP-75 b,342.3858995,-10.6754686,1.26,6100.0,1.14
2MASS J04372171+2651014,2M0437 b,69.3405531,26.8502997,0.84,3100.0,0.17
Kepler-1518,Kepler-1518 b,300.3323404,44.9861065,1.88,6846.0,1.54
K2-270,K2-270 c,131.2665588,13.5497322,0.77,4877.0,0.85
Kepler-550,Kepler-550 b,297.7001786,47.8637046,0.83,5322.0,0.87
Kepler-763,Kepler-763 d,292.1445534,47.1573604,0.843,4999.0,0.8
Kepler-812,Kepler-812 b,288.8552821,48.208517,1.71,6761.0,1.45
WASP-23,WASP-23 b,101.1275033,-42.7622296,0.765,5150.0,0.78
Kepler-686,Kepler-686 b,285.213819,39.027466,0.92,5649.0,0.94
Kepler-184,Kepler-184 b,291.9518784,43.0746172,0.873,5788.0,0.872
Kepler-343,Kepler-343 b,291.960662,42.4329567,1.433,5807.0,1.055
HD 103720,HD 103720 b,179.1713308,-2.7791393,0.73,5017.0,0.794
Kepler-1378,Kepler-1378 b,297.373403,40.3663986,0.67,4407.0,0.7
Kepler-229,Kepler-229 c,286.9994758,48.3757867,0.728,5120.0,0.808
Kepler-561,Kepler-561 b,293.7471107,45.1071981,0.94,5646.0,0.96
Kepler-1272,Kepler-1272 b,285.2197605,38.8058393,1.09,5926.0,1.06
